UniqueID,Distillery Name,Brand,Status,Region,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,Confidence,EvidenceStrength,SourceCount,LastVerified,QAStatus,SourceURLs,ResearchNeeded,Notes,SourceFile,EntityClass,ReleaseStatus
DIST-SPY-0001,Aberlour,Aberlour,Operating,Speyside,Malt,1879,Chivas Brothers,Pernod Ricard,,,Ben Rinnes springs,2,2,4,Traditional copper pot stills,,,,,Steam,5600000,"Rich, fruity, sherried",Partial,Yes,Yes,https://www.aberlour.com,,,4,,2,2026-07-01,,https://www.aberlour.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Confirm current full address/postcode and production equipment before v1.0,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0002,Allt a’ Bhainne,Allt a’ Bhainne,Operating,Speyside,Malt,1975,Chivas Brothers,Pernod Ricard,,,,2,2,4,Traditional copper pot stills,,,,,Steam,4000000,"Light, floral",No,No,No,,,,3,,2,2026-07-01,,https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Verify technical details from primary source,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0003,Auchroisk,Auchroisk,Operating,Speyside,Malt,1974,Diageo,Diageo,,,,4,4,8,Traditional copper pot stills,,,,,Steam,5900000,"Light, cereal, fruity",No,No,No,https://www.malts.com,,,3,,2,2026-07-01,,https://www.malts.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Verify water source and equipment,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0004,Aultmore,Aultmore,Operating,Speyside,Malt,1896,John Dewar & Sons,Bacardi,,,Auchinderran Burn,2,2,4,Traditional copper pot stills,,,,,Steam,3100000,"Fresh, grassy, herbal",No,No,No,https://www.aultmore.com,,,4,,2,2026-07-01,,https://www.aultmore.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Verify full technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0005,Ballindalloch,Ballindalloch,Operating,Speyside,Malt,2014,Ballindalloch Distillery LLP,Ballindalloch Estate,,,,1,1,2,Traditional copper pot stills,,,,,Steam,,"Fruity, traditional",No,Yes,Yes,https://www.ballindallochdistillery.com,,,4,,2,2026-07-01,,https://www.ballindallochdistillery.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Confirm capacity and equipment specs,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0006,Balmenach,Balmenach,Operating,Speyside,Malt,1824,Inver House Distillers,International Beverage,,,,3,3,6,Traditional copper pot stills,,,,,Steam,2000000,"Rich, old-style, meaty",No,No,No,https://www.interbevgroup.com,,,3,,2,2026-07-01,,https://www.interbevgroup.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Verify exact ownership chain and technicals,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0007,The Balvenie,The Balvenie,Operating,Speyside,Malt,1892,William Grant & Sons,William Grant & Sons,,,Robbie Dhu springs,5,6,11,Traditional copper pot stills,,,,,Steam,7000000,"Honeyed, malty, rich",No,Yes,Yes,https://www.thebalvenie.com,,,4,,2,2026-07-01,,https://www.thebalvenie.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Verify current still split and visitor details,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0008,Benriach,Benriach,Operating,Speyside,Malt,1898,Brown-Forman,Brown-Forman,,,,2,2,4,Traditional copper pot stills,,,,,Steam,2800000,"Fruit, oak, smoke variants",Partial,Yes,Yes,https://www.benriachdistillery.com,,,4,,2,2026-07-01,,https://www.benriachdistillery.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Verify production figures,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0009,Benrinnes,Benrinnes,Operating,Speyside,Malt,1826,Diageo,Diageo,,,Scurran Burn,3,3,6,Traditional copper pot stills,,,,,Steam,3500000,"Meaty, robust",No,No,No,https://www.malts.com,,,3,,2,2026-07-01,,https://www.malts.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Verify equipment details,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
DIST-SPY-0010,Benromach,Benromach,Operating,Speyside,Malt,1898,Gordon & MacPhail,Gordon & MacPhail,,,Chapelton Spring,1,1,2,Traditional copper pot stills,,,,,Steam,700000,"Lightly smoky, malty",Partial,Yes,Yes,https://www.benromach.com,,,4,,2,2026-07-01,,https://www.benromach.com | https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,Verify current capacity,,SWRD_Speyside_v0_1_distilleries_raw.csv,Physical Distillery Row,Research RC1
