UniqueID,Distillery Name,Status,Region,FunctionalRegion,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,EvidenceStrength,Confidence,LastVerified,ReleaseStatus,ResearchNeeded,Notes,SourceFile
DIST-CMP-0004,Dál Riata,Planned,Campbeltown,Campbeltown,Malt,2025,Machrihanish Distillery Ltd.,,,,,,,,,,,,,,,Variable,Planned,Planned,,,,3,,1,Track project progress,Research RC1,Planned project record.,,SWRD_Campbeltown_v0_1_Batch1.csv
DIST-CMP-0001,Glen Scotia,Operating,Campbeltown,Campbeltown,Malt,1832,Loch Lomond Group,Loch Lomond Group,,,Crosshill Loch,2,2,4,Traditional,,,,,Steam,750000,"Maritime, oily",Partial,Yes,Yes,https://www.glenscotia.com,,,,5,2026-07-01,Research RC1,Backfill technical equipment,,SWRD_Campbeltown_v0_1_Batch1.csv
AVD-GLEN-SCOTIA,Glen Scotia Distillery,Operating,Campbeltown,Campbeltown,Malt,1832,Loch Lomond Group,Loch Lomond Group,"Glen Scotia Distillery, 12 High Street, Campbeltown, Scotland",PA28 6DS,Crosshill Loch,1,1,2,Copper pot stills; onion-shaped stills,9,Stainless steel,,,Steam,750000,"Maritime, oily, Campbeltown style",Partial,Yes,Yes,https://www.glenscotia.com,,,4,,2026-07-01,Gold Candidate,,"Capacity sources vary; retained as 750,000 LPA from tourism/visitor source pending owner technical confirmation.",Campbeltown Gold v0.1
DIST-CMP-0003,Glengyle,Operating,Campbeltown,Campbeltown,Malt,2004,Mitchell's Glengyle Ltd.,J. & A. Mitchell & Co. Ltd.,,,Crosshill Loch,1,1,2,Traditional,,,,,Steam,750000,"Malty, lightly peated",Partial,Limited,Limited,https://www.kilkerransinglemalt.com,,,,5,2026-07-01,Research RC1,Verify current capacity,Brand is Kilkerran.,SWRD_Campbeltown_v0_1_Batch1.csv
AVD-GLENGYLE,Glengyle Distillery,Operating,Campbeltown,Campbeltown,Malt,1872,Mitchells Glengyle Ltd.,J. & A. Mitchell & Company Ltd.,"Mitchells Glengyle Ltd, Well Close, Campbeltown, Argyll, Scotland",PA28 6ET,,1,1,2,Copper pot stills,,,,,Steam,,"Malty, coastal, lightly peated Campbeltown style",Partial,Yes,Yes,https://kilkerran.scot,,,4,,2026-07-01,Gold Candidate,,Originally founded in the 19th century; production rebuilt/resumed in 2004. Tours depart via Springbank shop.,Campbeltown Gold v0.1
DIST-CMP-0002,Springbank,Operating,Campbeltown,Campbeltown,Malt,1828,J. & A. Mitchell & Co. Ltd.,J. & A. Mitchell & Co. Ltd.,,,Crosshill Loch,3,3,6,Traditional,,,,,Direct & Steam,750000,"Rich, oily",Partial,Yes,Yes,https://www.springbank.scot,,,,5,2026-07-01,Research RC1,Separate Hazelburn and Longrow into Brand table,"One physical distillery, multiple house styles.",SWRD_Campbeltown_v0_1_Batch1.csv
AVD-SPRINGBANK,Springbank Distillery,Operating,Campbeltown,Campbeltown,Malt,1828,J. & A. Mitchell & Company Ltd.,J. & A. Mitchell & Company Ltd.,"Springbank Distillers Ltd, Well Close, Campbeltown, Scotland",PA28 6ET,Crosshill Loch,1,2,3,Copper pot stills; Springbank 2.5x distillation,6,Boatskin larch,Open-top cast iron mash tun,,Direct-fired wash still plus steam-heated stills,750000,"Complex, oily, medium-peated Campbeltown style",Partial,Yes,Yes,https://www.springbank.scot,,,4,,2026-07-01,Gold Candidate,,Technical production values are supported by official process page plus secondary technical sources.,Campbeltown Gold v0.1
DIST-HLD-0025,AnCnoc (Knockdhu),Operating,Highlands,Highlands,Malt,1894,Inver House Distillers,International Beverage,,,Knock Burn,2,2,4,Traditional,,,,,Steam,1800000,"Fresh, honeyed",Partial,Yes,Yes,https://ancnoc.com,,,,4,2026-07-01,Research RC1,Verify equipment details,"Distillery name Knockdhu, brand anCnoc.",SWRD_Highlands_v0_1_Batch4.csv
DIST-HLD-0034,Arbikie,Operating,Highlands,Highlands,Malt,2014,Arbikie Distillery,Arbikie Highland Estate,,,Estate borehole,1,1,2,Traditional,,,,,Steam,,Farm-to-bottle,No,Yes,Yes,https://arbikie.com,,,,4,2026-07-01,Research RC1,Expand whisky production details,Produces spirits beyond whisky.,SWRD_Highlands_v0_1_Batch5.csv
DIST-HLD-0001,Ardmore,Operating,Highlands,Highlands,Malt,1898,Beam Suntory,Suntory Global Spirits,,,Knockandy Hill springs,4,4,8,Traditional,,,,,Steam,5500000,"Robust, lightly peated",Partial,No,No,https://www.ardmoredistillery.com,,,,4,2026-07-01,Research RC1,Verify current visitor access,,SWRD_Highlands_v0_1_Batch1.csv
DIST-HLD-0002,Ardnamurchan,Operating,Highlands,Highlands,Malt,2014,Adelphi Distillery Ltd.,Adelphi Distillery Ltd.,,,,2,2,4,Traditional,,,,,Steam,500000,"Maritime, lightly peated",Variable,Yes,Yes,https://ardnamurchandistillery.com,,,,4,2026-07-01,Research RC1,Verify latest capacity,,SWRD_Highlands_v0_1_Batch1.csv
DIST-HLD-0003,Balblair,Operating,Highlands,Highlands,Malt,1790,Inver House Distillers,International Beverage,,,Ault Dearg Burn,2,2,4,Traditional,,,,,Steam,1800000,"Elegant, orchard fruit",No,Yes,Yes,https://www.balblair.com,,,,4,2026-07-01,Research RC1,Verify equipment details,,SWRD_Highlands_v0_1_Batch1.csv
DIST-HLD-0026,Ben Nevis,Operating,Highlands,Highlands,Malt,1825,Ben Nevis Distillery Ltd.,Nikka Whisky,,,Allt a'Mhuilinn,2,2,4,Traditional,,,,,Steam,2000000,"Robust, oily",Partial,Yes,Yes,https://www.bennevisdistillery.com,,,,4,2026-07-01,Research RC1,Verify capacity,,SWRD_Highlands_v0_1_Batch4.csv
DIST-HLD-0004,Blair Athol,Operating,Highlands,Highlands,Malt,1798,Diageo,Diageo,,,Allt Dour,2,2,4,Traditional,,,,,Steam,2200000,"Nutty, rich",No,Yes,Yes,https://www.malts.com,,,,4,2026-07-01,Research RC1,Verify washback count,,SWRD_Highlands_v0_1_Batch1.csv
DIST-HLD-0027,Brackla (Cawdor),Closed,Highlands,Highlands,Malt,1812,,,,,,0,0,0,,,,,,,Historic,No,No,No,,,,2,,1,Historic references,Research RC1,Optional historical dataset.,,SWRD_Highlands_v0_1_Batch4.csv
DIST-HLD-0038,Brora,Operating,Highlands,Highlands,Malt,1819,Diageo,Diageo,,,Clynemilton Burn,2,2,4,Traditional,,,,,Steam,800000,"Waxy, coastal",Partial,Yes,Yes,https://www.brora.com,,,,5,2026-07-01,Research RC1,Verify latest annual capacity after reopening,Reopened in 2021.,SWRD_Highlands_v0_1_Batch6_QA.csv
DIST-HLD-0005,Clynelish,Operating,Highlands,Highlands,Malt,1968,Diageo,Diageo,,,Clynemilton Burn,3,3,6,Traditional,,,,,Steam,4800000,"Waxy, coastal",No,Yes,Yes,https://www.malts.com,,,,4,2026-07-01,Research RC1,Verify technical specifications,,SWRD_Highlands_v0_1_Batch1.csv
DIST-HLD-0006,Dalmore,Operating,Highlands,Highlands,Malt,1839,Whyte & Mackay,Emperador Inc.,,,River Alness,4,4,8,Traditional,,,,,Steam,4200000,"Rich, orange, sherry",No,Yes,Yes,https://www.thedalmore.com,,,,4,2026-07-01,Research RC1,Verify latest still configuration,,SWRD_Highlands_v0_1_Batch1.csv
DIST-HLD-0007,Dalwhinnie,Operating,Highlands,Highlands,Malt,1897,Diageo,Diageo,,,Allt an'Sluic,2,2,4,Traditional,,,,,Steam,1700000,"Honeyed, heather",No,Yes,Yes,https://www.malts.com,,,,4,2026-07-01,Research RC1,Verify production details,,SWRD_Highlands_v0_1_Batch1.csv
DIST-HLD-0008,Deanston,Operating,Highlands,Highlands,Malt,1966,Burn Stewart Distillers,Distell,,,River Teith,2,2,4,Traditional,,,,,Steam,3000000,"Malty, honeyed",No,Yes,Yes,https://www.deanstonmalt.com,,,,4,2026-07-01,Research RC1,Verify ownership history notes,,SWRD_Highlands_v0_1_Batch1.csv
DIST-HLD-0028,Dornoch,Operating,Highlands,Highlands,Malt,2017,Dornoch Distillery Co.,Thompson Bros.,,,,1,1,2,Traditional,,,,Direct Fired,20000,"Craft, fruity",Variable,Yes,Yes,https://www.dornochdistillery.com,,,4,,2,Official|SWA,Research RC1,Small-scale craft distillery.,,SWRD_Highlands_v0_1_Batch4.csv
DIST-HLD-0009,Edradour,Operating,Highlands,Highlands,Malt,1825,Signatory Vintage,Signatory Vintage,,,,2,2,4,Traditional,,,,,Steam,300000,"Rich, oily",Partial,Yes,Yes,https://edradour.com,,,,4,2026-07-01,Research RC1,Verify washbacks,,SWRD_Highlands_v0_1_Batch2.csv
DIST-HLD-0010,Fettercairn,Operating,Highlands,Highlands,Malt,1824,Whyte & Mackay,Emperador Inc.,,,,2,2,4,Traditional,,,,,Steam,3200000,"Tropical, clean",No,Yes,Yes,https://www.fettercairnwhisky.com,,,,4,2026-07-01,Research RC1,Verify cooling ring details,,SWRD_Highlands_v0_1_Batch2.csv
DIST-HLD-0012,Glen Garioch,Operating,Highlands,Highlands,Malt,1797,Beam Suntory,Suntory Global Spirits,,,,2,2,4,Traditional,,,,,Steam,1400000,"Malty, spicy",Partial,Yes,Yes,https://www.glengarioch.com,,,,4,2026-07-01,Research RC1,Verify equipment,,SWRD_Highlands_v0_1_Batch2.csv
DIST-HLD-0013,Glen Ord,Operating,Highlands,Highlands,Malt,1838,Diageo,Diageo,,,,7,7,14,Traditional,,,,,Steam,11000000,"Malty, fruity",No,Yes,Yes,https://www.malts.com,,,,4,2026-07-01,Research RC1,Verify still count,,SWRD_Highlands_v0_1_Batch2.csv
DIST-HLD-0036,GlenWyvis,Operating,Highlands,Highlands,Malt,2017,GlenWyvis Distillery,GlenWyvis Distillery,,,Ben Wyvis water,1,1,2,Traditional,,,,,Steam,150000,"Light, fruity",No,Yes,Yes,https://glenwyvis.com,,,,4,2026-07-01,Research RC1,Verify latest production figures,Community-owned distillery.,SWRD_Highlands_v0_1_Batch5.csv
DIST-HLD-0011,Glencadam,Operating,Highlands,Highlands,Malt,1825,Angus Dundee,Angus Dundee,,,,2,2,4,Traditional,,,,,Steam,1400000,Floral,No,Yes,Yes,https://www.glencadamwhisky.com,,,,4,2026-07-01,Research RC1,Verify capacity,,SWRD_Highlands_v0_1_Batch2.csv
