SourceID,SourceType,Authority,Title,URL,Reliability,LastChecked,Notes
SRC-SWA-2026-MAP,Official,Scotch Whisky Association,2026 Scotch Whisky distillery map / operating baseline,https://www.scotch-whisky.org.uk/discover-scotch/distillery-map/,High,2026-07-01,Current official map/baseline reference for Scotch whisky distilleries.
SRC-WORKING-SWRD-SPEYSIDE-V0-1-DISTILLERIES-RAW,Working Paper,UWRDB/SWRD working data,SWRD_Speyside_v0_1_distilleries_raw.csv,,Working,2026-07-01,Internal regional research batch for Speyside.
SRC-WORKING-SWRD-HIGHLANDS-V0-1-BATCH1,Working Paper,UWRDB/SWRD working data,SWRD_Highlands_v0_1_Batch1.csv,,Working,2026-07-01,Internal regional research batch for Highlands.
SRC-WORKING-SWRD-HIGHLANDS-V0-1-BATCH2,Working Paper,UWRDB/SWRD working data,SWRD_Highlands_v0_1_Batch2.csv,,Working,2026-07-01,Internal regional research batch for Highlands.
SRC-WORKING-SWRD-HIGHLANDS-V0-1-BATCH3,Working Paper,UWRDB/SWRD working data,SWRD_Highlands_v0_1_Batch3.csv,,Working,2026-07-01,Internal regional research batch for Highlands.
SRC-WORKING-SWRD-HIGHLANDS-V0-1-BATCH4,Working Paper,UWRDB/SWRD working data,SWRD_Highlands_v0_1_Batch4.csv,,Working,2026-07-01,Internal regional research batch for Highlands.
SRC-WORKING-SWRD-HIGHLANDS-V0-1-BATCH5,Working Paper,UWRDB/SWRD working data,SWRD_Highlands_v0_1_Batch5.csv,,Working,2026-07-01,Internal regional research batch for Highlands.
SRC-WORKING-SWRD-HIGHLANDS-V0-1-BATCH6-QA,Working Paper,UWRDB/SWRD working data,SWRD_Highlands_v0_1_Batch6_QA.csv,,Working,2026-07-01,Internal regional research batch for Highlands.
SRC-WORKING-SWRD-ISLAY-V0-1-BATCH1,Working Paper,UWRDB/SWRD working data,SWRD_Islay_v0_1_Batch1.csv,,Working,2026-07-01,Internal regional research batch for Islay.
SRC-WORKING-SWRD-ISLAY-V0-1-BATCH2,Working Paper,UWRDB/SWRD working data,SWRD_Islay_v0_1_Batch2.csv,,Working,2026-07-01,Internal regional research batch for Islay.
SRC-WORKING-SWRD-ISLAY-V0-1-BATCH3,Working Paper,UWRDB/SWRD working data,SWRD_Islay_v0_1_Batch3.csv,,Working,2026-07-01,Internal regional research batch for Islay.
SRC-WORKING-SWRD-ISLAY-V0-1-BATCH4,Working Paper,UWRDB/SWRD working data,SWRD_Islay_v0_1_Batch4.csv,,Working,2026-07-01,Internal regional research batch for Islay.
