UniqueID,Distillery Name,Brand,Status,Region,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,Confidence,EvidenceStrength,SourceCount,LastVerified,QAStatus,SourceURLs,ResearchNeeded,Notes,SourceFile,EntityClass,ReleaseStatus
DIST-HLD-0001,Ardmore,Ardmore,Operating,Highlands,Malt,1898,Beam Suntory,Suntory Global Spirits,,,Knockandy Hill springs,4,4,8,Traditional,,,,,Steam,5500000,"Robust, lightly peated",Partial,No,No,https://www.ardmoredistillery.com,,,4,,2,2026-07-01,,Official website | SWA,Verify current visitor access,,SWRD_Highlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-HLD-0002,Ardnamurchan,Ardnamurchan,Operating,Highlands,Malt,2014,Adelphi Distillery Ltd.,Adelphi Distillery Ltd.,,,,2,2,4,Traditional,,,,,Steam,500000,"Maritime, lightly peated",Variable,Yes,Yes,https://ardnamurchandistillery.com,,,4,,2,2026-07-01,,Official website | SWA,Verify latest capacity,,SWRD_Highlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-HLD-0003,Balblair,Balblair,Operating,Highlands,Malt,1790,Inver House Distillers,International Beverage,,,Ault Dearg Burn,2,2,4,Traditional,,,,,Steam,1800000,"Elegant, orchard fruit",No,Yes,Yes,https://www.balblair.com,,,4,,2,2026-07-01,,Official website | SWA,Verify equipment details,,SWRD_Highlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-HLD-0004,Blair Athol,Blair Athol,Operating,Highlands,Malt,1798,Diageo,Diageo,,,Allt Dour,2,2,4,Traditional,,,,,Steam,2200000,"Nutty, rich",No,Yes,Yes,https://www.malts.com,,,4,,2,2026-07-01,,Official website | SWA,Verify washback count,,SWRD_Highlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-HLD-0005,Clynelish,Clynelish,Operating,Highlands,Malt,1968,Diageo,Diageo,,,Clynemilton Burn,3,3,6,Traditional,,,,,Steam,4800000,"Waxy, coastal",No,Yes,Yes,https://www.malts.com,,,4,,2,2026-07-01,,Official website | SWA,Verify technical specifications,,SWRD_Highlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-HLD-0006,Dalmore,Dalmore,Operating,Highlands,Malt,1839,Whyte & Mackay,Emperador Inc.,,,River Alness,4,4,8,Traditional,,,,,Steam,4200000,"Rich, orange, sherry",No,Yes,Yes,https://www.thedalmore.com,,,4,,2,2026-07-01,,Official website | SWA,Verify latest still configuration,,SWRD_Highlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-HLD-0007,Dalwhinnie,Dalwhinnie,Operating,Highlands,Malt,1897,Diageo,Diageo,,,Allt an'Sluic,2,2,4,Traditional,,,,,Steam,1700000,"Honeyed, heather",No,Yes,Yes,https://www.malts.com,,,4,,2,2026-07-01,,Official website | SWA,Verify production details,,SWRD_Highlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-HLD-0008,Deanston,Deanston,Operating,Highlands,Malt,1966,Burn Stewart Distillers,Distell,,,River Teith,2,2,4,Traditional,,,,,Steam,3000000,"Malty, honeyed",No,Yes,Yes,https://www.deanstonmalt.com,,,4,,2,2026-07-01,,Official website | SWA,Verify ownership history notes,,SWRD_Highlands_v0_1_Batch1.csv,Physical Distillery Row,Research RC1
DIST-HLD-0009,Edradour,Edradour,Operating,Highlands,Malt,1825,Signatory Vintage,Signatory Vintage,,,,2,2,4,Traditional,,,,,Steam,300000,"Rich, oily",Partial,Yes,Yes,https://edradour.com,,,4,,2,2026-07-01,,Official|SWA,Verify washbacks,,SWRD_Highlands_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
DIST-HLD-0010,Fettercairn,Fettercairn,Operating,Highlands,Malt,1824,Whyte & Mackay,Emperador Inc.,,,,2,2,4,Traditional,,,,,Steam,3200000,"Tropical, clean",No,Yes,Yes,https://www.fettercairnwhisky.com,,,4,,2,2026-07-01,,Official|SWA,Verify cooling ring details,,SWRD_Highlands_v0_1_Batch2.csv,Physical Distillery Row,Research RC1
