UniqueID,Distillery Name,Status,Region,FunctionalRegion,Type,Founded,Owner,Parent Company,Full Address,Postcode,Water Source,Wash Stills,Spirit Stills,Total Stills,Still Type,Washbacks,Washback Material,Mash Tun,Milling Equipment,Heating Method,Annual Capacity (LPA),Core Style,Peated,Visitor Centre,Tours,Website,Latitude,Longitude,EvidenceStrength,Confidence,LastVerified,ReleaseStatus,ResearchNeeded,Notes,SourceFile
DIST-SPY-0001,Aberlour,Operating,Speyside,Speyside,Malt,1879,Chivas Brothers,Pernod Ricard,,,Ben Rinnes springs,2,2,4,Traditional copper pot stills,,,,,Steam,5600000,"Rich, fruity, sherried",Partial,Yes,Yes,https://www.aberlour.com,,,,4,2026-07-01,Research RC1,Confirm current full address/postcode and production equipment before v1.0,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0002,Allt a’ Bhainne,Operating,Speyside,Speyside,Malt,1975,Chivas Brothers,Pernod Ricard,,,,2,2,4,Traditional copper pot stills,,,,,Steam,4000000,"Light, floral",No,No,No,,,,,3,2026-07-01,Research RC1,Verify technical details from primary source,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0003,Auchroisk,Operating,Speyside,Speyside,Malt,1974,Diageo,Diageo,,,,4,4,8,Traditional copper pot stills,,,,,Steam,5900000,"Light, cereal, fruity",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify water source and equipment,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0004,Aultmore,Operating,Speyside,Speyside,Malt,1896,John Dewar & Sons,Bacardi,,,Auchinderran Burn,2,2,4,Traditional copper pot stills,,,,,Steam,3100000,"Fresh, grassy, herbal",No,No,No,https://www.aultmore.com,,,,4,2026-07-01,Research RC1,Verify full technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0005,Ballindalloch,Operating,Speyside,Speyside,Malt,2014,Ballindalloch Distillery LLP,Ballindalloch Estate,,,,1,1,2,Traditional copper pot stills,,,,,Steam,,"Fruity, traditional",No,Yes,Yes,https://www.ballindallochdistillery.com,,,,4,2026-07-01,Research RC1,Confirm capacity and equipment specs,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0006,Balmenach,Operating,Speyside,Speyside,Malt,1824,Inver House Distillers,International Beverage,,,,3,3,6,Traditional copper pot stills,,,,,Steam,2000000,"Rich, old-style, meaty",No,No,No,https://www.interbevgroup.com,,,,3,2026-07-01,Research RC1,Verify exact ownership chain and technicals,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0008,Benriach,Operating,Speyside,Speyside,Malt,1898,Brown-Forman,Brown-Forman,,,,2,2,4,Traditional copper pot stills,,,,,Steam,2800000,"Fruit, oak, smoke variants",Partial,Yes,Yes,https://www.benriachdistillery.com,,,,4,2026-07-01,Research RC1,Verify production figures,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0009,Benrinnes,Operating,Speyside,Speyside,Malt,1826,Diageo,Diageo,,,Scurran Burn,3,3,6,Traditional copper pot stills,,,,,Steam,3500000,"Meaty, robust",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify equipment details,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0010,Benromach,Operating,Speyside,Speyside,Malt,1898,Gordon & MacPhail,Gordon & MacPhail,,,Chapelton Spring,1,1,2,Traditional copper pot stills,,,,,Steam,700000,"Lightly smoky, malty",Partial,Yes,Yes,https://www.benromach.com,,,,4,2026-07-01,Research RC1,Verify current capacity,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0011,Braeval,Operating,Speyside,Speyside,Malt,1973,Chivas Brothers,Pernod Ricard,,,,3,3,6,Traditional copper pot stills,,,,,Steam,3800000,"Light, fruity",No,No,No,,,,,3,2026-07-01,Research RC1,Verify primary technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0013,Cardhu,Operating,Speyside,Speyside,Malt,1824,Diageo,Diageo,,,Cardow Burn,2,2,4,Traditional copper pot stills,,,,,Steam,3600000,"Honeyed, orchard fruit",No,Yes,Yes,https://www.malts.com,,,,4,2026-07-01,Research RC1,Verify technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0014,Cragganmore,Operating,Speyside,Speyside,Malt,1869,Diageo,Diageo,,,Craggan Burn,2,2,4,Traditional copper pot stills,,,,,Steam,1520000,"Complex, floral",No,Yes,Yes,https://www.malts.com,,,,4,2026-07-01,Research RC1,Check current visitor opening status,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0015,Craigellachie,Operating,Speyside,Speyside,Malt,1891,John Dewar & Sons,Bacardi,,,,2,2,4,Traditional copper pot stills,,,,,Steam,4100000,"Robust, meaty",No,Yes,Yes,https://www.craigellachie.com,,,,4,2026-07-01,Research RC1,Verify visitor/tours status,,SWRD_Speyside_v0_1_distilleries_raw.csv
DIST-SPY-0016,Dailuaine,Operating,Speyside,Speyside,Malt,1852,Diageo,Diageo,,,,3,3,6,Traditional copper pot stills,,,,,Steam,5900000,"Rich, meaty",No,No,No,https://www.malts.com,,,,3,2026-07-01,Research RC1,Verify full technical data,,SWRD_Speyside_v0_1_distilleries_raw.csv
