EvidenceID,EntityType,EntityID,FieldName,FieldValue,SourceID,EvidenceStrength,VerificationStatus,VerifiedDate,Notes
EVD-RC2-0001,distillery,AVD-8-DOORS,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 1: 8 Doors Distillery.
EVD-RC2-0002,distillery,AVD-ABERARGIE,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 2: Aberargie Distillery.
EVD-RC2-0003,distillery,AVD-ABERFELDY,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 3: Aberfeldy Distillery.
EVD-RC2-0004,distillery,DIST-SPY-0001,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 4: Aberlour Distillery.
EVD-RC2-0005,distillery,AVD-AILSA-BAY,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 5: Ailsa Bay Distillery.
EVD-RC2-0006,distillery,DIST-SPY-0002,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 6: Allt a’ Bhainne Distillery.
EVD-RC2-0007,distillery,AVD-ANNANDALE,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 7: Annandale Distillery.
EVD-RC2-0008,distillery,DIST-HLD-0034,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 8: Arbikie Distillery.
EVD-RC2-0009,distillery,DIST-ISL-0001,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 9: Ardbeg Distillery.
EVD-RC2-0010,distillery,AVD-ARDGOWAN,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 10: Ardgowan Distillery.
EVD-RC2-0011,distillery,DIST-HLD-0001,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 11: Ardmore Distillery.
EVD-RC2-0012,distillery,DIST-ISL-0002,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 12: Ardnahoe Distillery.
EVD-RC2-0013,distillery,DIST-HLD-0002,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 13: Ardnamurchan Distillery.
EVD-RC2-0014,distillery,AVD-ARDROSS,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 14: Ardross Distillery.
EVD-RC2-0015,distillery,DIST-LWD-0001,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 15: Auchentoshan Distillery.
EVD-RC2-0016,distillery,DIST-SPY-0003,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 16: Auchroisk Distillery.
EVD-RC2-0017,distillery,DIST-SPY-0004,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 17: Aultmore Distillery.
EVD-RC2-0018,distillery,DIST-HLD-0003,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 18: Balblair Distillery.
EVD-RC2-0019,distillery,DIST-SPY-0005,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 19: Ballindalloch Distillery.
EVD-RC2-0020,distillery,AVD-BALMAUD,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 20: Balmaud Distillery.
EVD-RC2-0021,distillery,DIST-SPY-0006,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 21: Balmenach Distillery.
EVD-RC2-0022,distillery,DIST-SPY-0007,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 22: Balvenie Distillery.
EVD-RC2-0023,distillery,DIST-HLD-0026,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 23: Ben Nevis Distillery.
EVD-RC2-0024,distillery,AVD-BENBECULA,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 24: Benbecula Distillery.
EVD-RC2-0025,distillery,DIST-SPY-0008,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 25: BenRiach Distillery.
EVD-RC2-0026,distillery,DIST-SPY-0009,operating_status,Operating,SRC-SWA-APRIL-2026,5,gold,2026-07-02,SWA April 2026 operating list item 26: Benrinnes Distillery.
